temperature   1(scheme2)   2    3    4    scheme3   scheme4   scheme5   
372.0 -11.617586 -12.275343 -11.777257 -11.997752 -11.890062 -11.9169845 -11.797531666666666
375.0 -11.613257 -12.265418 -11.7629175 -11.990209 -11.880530833333333 -11.907950375 -11.7887945
378.0 -11.608928 -12.2550335 -11.748578 -11.982665 -11.8708465 -11.898801125000002 -11.780057
381.0 -11.604599 -12.244649 -11.734238 -11.9751215 -11.861162 -11.889651875 -11.771319499999999
384.0 -11.600269 -12.234272 -11.719899 -11.96758 -11.85148 -11.880505 -11.762582666666667
387.0 -11.595941 -12.223919 -11.705558 -11.960034 -11.841806 -11.871363 -11.753844333333333
390.0 -11.591611 -12.213564 -11.691218 -11.952493 -11.832130999999999 -11.8622215 -11.745107333333332
393.0 -11.587282 -12.202837 -11.676879 -11.944949 -11.822332666666668 -11.852986750000001 -11.73637
396.0 -11.5829525 -12.191932 -11.6625395 -11.937406 -11.812474666666667 -11.8437075 -11.727632666666665
399.0 -11.578624 -12.181028 -11.648199 -11.929863 -11.802617 -11.8344285 -11.718895333333334
402.0 -11.574294 -12.170124 -11.638341 -11.92232 -11.794253 -11.82626975 -11.711651666666667
405.0 -11.569989 -12.15922 -11.629482 -11.914776 -11.78623033333333 -11.81836675 -11.704749
408.0 -11.566164 -12.148081 -11.623082 -11.907232 -11.779109 -11.81113975 -11.698826000000002
411.0 -11.562339 -12.13675 -11.618751 -11.89969 -11.772613333333334 -11.804382500000001 -11.693593333333332
414.0 -11.558513 -12.12542 -11.61442 -11.892147 -11.766117666666666 -11.797625 -11.688360000000001
417.0 -11.554687 -12.114088 -11.610088 -11.884603 -11.759621000000001 -11.7908665 -11.683126
420.0 -11.550861 -12.102757 -11.605757 -11.87706 -11.753125000000002 -11.784108750000001 -11.677892666666667
423.0 -11.547036 -12.091426 -11.601425 -11.869517 -11.746629 -11.777351000000001 -11.672659333333334
426.0 -11.54321 -12.079628 -11.597095 -11.861974 -11.739977666666666 -11.77047675 -11.667426333333333
429.0 -11.539385 -12.067679 -11.592762 -11.85443 -11.733275333333333 -11.763564 -11.662192333333332
432.0 -11.535559 -12.057114 -11.588429 -11.84747 -11.727033999999998 -11.757143 -11.657152666666667
435.0 -11.5317135 -12.047949 -11.5841 -11.841766 -11.721254166666666 -11.751382125 -11.6525265
438.0 -11.527986 -12.038783 -11.579768 -11.8360615 -11.715512333333335 -11.745649625 -11.6479385
441.0 -11.524259 -12.029618 -11.575437 -11.8303585 -11.709771333333334 -11.739918125 -11.643351500000001
444.0 -11.520531 -12.020454 -11.571105 -11.824618 -11.704029999999998 -11.734176999999999 -11.638751333333333
447.0 -11.516803 -12.01129 -11.566773 -11.81848 -11.698288666666665 -11.7283365 -11.634018666666668
450.0 -11.513076 -12.002125 -11.562442 -11.81234 -11.692547666666664 -11.722495749999998 -11.629286
453.0 -11.509348 -11.992959 -11.55811 -11.8062 -11.686805666666666 -11.716654250000001 -11.624552666666666
456.0 -11.50562 -11.983795 -11.553779 -11.80006 -11.681064666666666 -11.7108135 -11.619819666666666
459.0 -11.501893 -11.974629 -11.549447 -11.79392 -11.675323 -11.70497225 -11.615086666666668
462.0 -11.498165 -11.965465 -11.545115 -11.78778 -11.669581666666668 -11.69913125 -11.610353333333334
465.0 -11.494437 -11.956301 -11.540341 -11.781641 -11.663693 -11.69318 -11.605472999999998
468.0 -11.49071 -11.947136 -11.534383 -11.775018 -11.657409666666666 -11.68681175 -11.600037
471.0 -11.486982 -11.93797 -11.528421 -11.7683 -11.651124333333334 -11.680418249999999 -11.594567666666668
474.0 -11.483254 -11.928806 -11.522462 -11.761582 -11.644840666666667 -11.674026000000001 -11.589099333333332
477.0 -11.4795265 -11.9196415 -11.516261 -11.754867 -11.638476333333335 -11.667574000000002 -11.583551499999999
480.0 -11.4758 -11.909996 -11.507413 -11.748149 -11.631069666666667 -11.6603395 -11.577120666666666
483.0 -11.471991 -11.900774 -11.495513 -11.741432 -11.622759333333335 -11.652427500000002 -11.569645333333332
486.0 -11.467864 -11.891552 -11.483612 -11.7347145 -11.614342666666667 -11.644435625000002 -11.5620635
489.0 -11.463737 -11.88233 -11.471711 -11.727997 -11.605925999999998 -11.63644375 -11.554481666666668
492.0 -11.459611 -11.873109 -11.465686 -11.721281 -11.599468666666667 -11.62992175 -11.548859333333333
495.0 -11.455485 -11.863888 -11.461015 -11.714563 -11.593462666666667 -11.62373775 -11.543687666666665
498.0 -11.45136 -11.854666 -11.456344 -11.707845 -11.587456666666666 -11.617553749999999 -11.538516333333334
501.0 -11.447234 -11.845444 -11.451673 -11.701128 -11.581450333333335 -11.611369750000001 -11.533345000000002
504.0 -11.443107 -11.836223 -11.445534 -11.694411 -11.574954666666669 -11.604818750000002 -11.527684
507.0 -11.438981 -11.827002 -11.439081 -11.687695 -11.568354666666666 -11.59818975 -11.521918999999999
510.0 -11.434855 -11.81778 -11.435456 -11.680977 -11.562697 -11.592267 -11.517096
513.0 -11.430631 -11.8085575 -11.432437 -11.67426 -11.5572085 -11.586471374999999 -11.512442666666667
516.0 -11.4255705 -11.799336 -11.429418 -11.667542 -11.551441500000001 -11.580466625 -11.507510166666664
519.0 -11.419845 -11.790113 -11.426397 -11.660825 -11.545451666666667 -11.574295000000001 -11.502355666666666
522.0 -11.413718 -11.780893 -11.423378 -11.65372 -11.539329666666667 -11.56792725 -11.496938666666665
525.0 -11.407591 -11.77167 -11.420358 -11.646452 -11.533206333333334 -11.56151775 -11.491467
528.0 -11.4014635 -11.762449 -11.417338 -11.639184 -11.527083500000002 -11.555108625 -11.485995166666667
531.0 -11.395337 -11.753227 -11.414319 -11.631917 -11.520961 -11.5487 -11.480524333333333
534.0 -11.389211 -11.744006 -11.411233 -11.624649 -11.514816666666666 -11.542274749999999 -11.475031
537.0 -11.383083 -11.734784 -11.408051 -11.617381 -11.508639333333333 -11.53582475 -11.469505
540.0 -11.376956 -11.725561 -11.404867 -11.610114 -11.502461333333335 -11.5293745 -11.463979
543.0 -11.370801 -11.716341 -11.401685 -11.602887 -11.496275666666667 -11.5229285 -11.458457666666668
546.0 -11.36452 -11.707119 -11.398501 -11.595704 -11.490046666666666 -11.516461 -11.452908333333333
549.0 -11.358241 -11.702914 -11.39532 -11.588485 -11.485491666666666 -11.511239999999999 -11.447348666666665
552.0 -11.35196 -11.699265 -11.392137 -11.580968 -11.481120666666667 -11.5060825 -11.441688333333333
555.0 -11.345679 -11.695872 -11.388954 -11.57345 -11.476835 -11.50098875 -11.436027666666668
558.0 -11.339399 -11.692669 -11.385772 -11.565934 -11.472613333333333 -11.4959435 -11.430368333333334
561.0 -11.333119 -11.6894655 -11.382588 -11.558415 -11.468390833333332 -11.490896875 -11.424707333333336
564.0 -11.3268385 -11.686261 -11.379406 -11.550899 -11.4641685 -11.485851125 -11.419047833333332
567.0 -11.320558 -11.683058 -11.376224 -11.543381 -11.459946666666667 -11.48080525 -11.413387666666665
570.0 -11.314278 -11.679853 -11.373041 -11.535863 -11.455723999999998 -11.475758749999999 -11.407727333333334
573.0 -11.307998 -11.676651 -11.369859 -11.528346 -11.451502666666665 -11.470713499999999 -11.402067666666667
576.0 -11.301718 -11.673447 -11.366676 -11.520827 -11.447280333333332 -11.465667 -11.396407000000002
579.0 -11.295437 -11.670243 -11.363494 -11.51331 -11.443057999999999 -11.460621 -11.390747
582.0 -11.289157 -11.66704 -11.360311 -11.505792 -11.438836 -11.455575 -11.385086666666666
585.0 -11.282876 -11.663836 -11.357128 -11.498275 -11.434613333333331 -11.450528749999998 -11.379426333333333
588.0 -11.276595 -11.660633 -11.353946 -11.490758 -11.430391333333333 -11.445483 -11.373766333333334
591.0 -11.270315 -11.657428 -11.350762 -11.483239 -11.426168333333331 -11.440435999999998 -11.368105333333332
594.0 -11.264034 -11.654224 -11.34758 -11.475722 -11.421946 -11.43539 -11.362445333333334
597.0 -11.258725 -11.651021 -11.344398 -11.468205 -11.418047999999999 -11.430587249999999 -11.357109333333334
600.0 -11.25368 -11.647817 -11.341215 -11.460687 -11.414237333333332 -11.42584975 -11.351860666666667
603.0 -11.248636 -11.644613 -11.338033 -11.453015 -11.410427333333331 -11.421074249999998 -11.346561333333334
606.0 -11.243591 -11.64141 -11.33485 -11.445315 -11.406617000000002 -11.416291500000002 -11.341251999999999
609.0 -11.238547 -11.6382065 -11.331667 -11.440216 -11.402806833333335 -11.412159125 -11.33681
612.0 -11.233502 -11.635002 -11.328485 -11.435575 -11.398996333333335 -11.408141 -11.332520666666667
615.0 -11.228458 -11.631798 -11.325302 -11.430934 -11.395186 -11.404123 -11.328231333333335
618.0 -11.223413 -11.628595 -11.32212 -11.426294 -11.391376000000001 -11.4001055 -11.323942333333333
621.0 -11.2183695 -11.625392 -11.318936 -11.422301 -11.387565833333333 -11.396249625 -11.319868833333333
624.0 -11.213325 -11.622694 -11.315755 -11.418342 -11.383924666666667 -11.392529000000001 -11.315807333333334
627.0 -11.208281 -11.620043 -11.312572 -11.41438 -11.380298666666667 -11.388819 -11.311744333333332
630.0 -11.203236 -11.61739 -11.309388 -11.410421 -11.376671333333334 -11.38510875 -11.307681666666667
