	X1	X2	X3	product	temperature	logk(T)
OHR1	7.5747	6.5747	6.5747	1	1116	-11.0419018
OHR1	7.5747	6.5747	6.5747	1	1124	-11.03626793
OHR1	7.5747	6.5747	6.5747	1	1132	-11.03069183
OHR1	7.5747	6.5747	6.5747	1	1140	-11.02517246
OHR1	7.5747	6.5747	6.5747	1	1148	-11.01970878
OHR1	7.5747	6.5747	6.5747	1	1156	-11.01429978
OHR1	7.5747	6.5747	6.5747	1	1164	-11.00894446
OHR1	7.5747	6.5747	6.5747	1	1172	-11.00364189
OHR1	7.5747	6.5747	6.5747	1	1180	-10.99839111
OHR1	7.5747	6.5747	6.5747	1	1188	-10.99319123
OHR1	7.5747	6.5747	6.5747	1	1196	-10.98804135
OHR1	7.5747	6.5747	6.5747	1	1204	-10.9829406
OHR1	7.5747	6.5747	6.5747	1	1212	-10.97788814
OHR1	7.5747	6.5747	6.5747	1	1220	-10.97288314
OHR1	7.5747	6.5747	6.5747	1	1228	-10.9679248
OHR1	7.5747	6.5747	6.5747	1	1236	-10.96301234
OHR1	7.5747	6.5747	6.5747	1	1244	-10.95814498
OHR1	7.5747	6.5747	6.5747	1	1252	-10.95332198
OHR1	7.5747	6.5747	6.5747	1	1260	-10.9485426
OHR1	7.5747	6.5747	6.5747	1	1268	-10.94380614
OHR1	7.5747	6.5747	6.5747	1	1276	-10.93911189
OHR1	7.5747	6.5747	6.5747	1	1284	-10.93445916
OHR1	7.5747	6.5747	6.5747	1	1292	-10.9298473
OHR1	7.5747	6.5747	6.5747	1	1300	-10.92527566
OHR1	7.5747	6.5747	6.5747	1	1308	-10.92074359
OHR1	7.5747	6.5747	6.5747	1	1316	-10.91625047
OHR1	7.5747	6.5747	6.5747	1	1324	-10.9117957
OHR1	7.5747	6.5747	6.5747	1	1332	-10.90737868
OHR1	7.5747	6.5747	6.5747	1	1340	-10.90299882
OHR1	7.5747	6.5747	6.5747	1	1348	-10.89865557
OHR1	7.5747	6.5747	6.5747	1	1356	-10.89434836
OHR1	7.5747	6.5747	6.5747	1	1364	-10.89007664
